ID_Cliente,Fecha_Visita,Monto_Consumo,Categoria_Producto
Cliente_0001,2025-09-06,43746.06,merch
Cliente_0001,2025-09-14,45092.08,tragos
Cliente_0001,2026-03-22,6497.97,whiskys
Cliente_0001,2026-03-23,7772.04,Picadas
Cliente_0001,2026-03-23,47001.9,Picadas
Cliente_0002,2025-05-24,40457.4,tragos
Cliente_0002,2025-06-08,33540.05,vinos
Cliente_0002,2025-06-26,35649.22,otras categorias
Cliente_0002,2025-06-29,49283.82,cervezas
Cliente_0002,2025-08-22,23362.02,otros platos
Cliente_0002,2025-09-03,45473.47,tragos de autor
Cliente_0002,2025-09-28,40359.92,otras categorias
Cliente_0002,2025-10-14,18862.99,cervezas
Cliente_0002,2025-12-20,12850.24,otros platos
Cliente_0002,2026-01-30,45396.35,tragos
Cliente_0002,2026-02-10,22727.65,vinos
Cliente_0002,2026-02-11,39620.95,cervezas
Cliente_0002,2026-03-17,10349.67,platos principales
Cliente_0002,2026-04-11,9242.65,tragos de autor
Cliente_0003,2025-05-12,20773.85,gaseosas
Cliente_0003,2025-05-17,46847.85,cervezas
Cliente_0003,2025-05-26,47718.87,whiskys
Cliente_0003,2025-06-01,38182.22,otras categorias
Cliente_0003,2025-06-01,10784.3,cervezas
Cliente_0003,2025-06-06,8775.51,gaseosas
Cliente_0003,2025-06-27,8828.03,aguas
Cliente_0003,2025-07-10,7663.44,merch
Cliente_0003,2025-07-20,29955.44,otras categorias
Cliente_0003,2025-07-23,6017.94,otros platos
Cliente_0003,2025-07-24,20380.4,cervezas
Cliente_0003,2025-08-02,46842.38,otras categorias
Cliente_0003,2025-08-10,34307.89,entradas
Cliente_0003,2025-08-18,27342.52,tragos de autor
Cliente_0003,2025-08-20,19520.82,entradas
Cliente_0003,2025-08-20,41105.59,Picadas
Cliente_0003,2025-08-27,27469.15,tragos de autor
Cliente_0003,2025-08-28,27953.38,cervezas
Cliente_0003,2025-09-04,13239.65,tragos de autor
Cliente_0003,2025-09-10,19621.3,otros platos
Cliente_0003,2025-09-10,14609.55,cervezas
Cliente_0003,2025-09-13,26375.46,tragos
Cliente_0003,2025-09-13,24203.64,gaseosas
Cliente_0003,2025-09-14,31302.26,otros platos
Cliente_0003,2025-09-24,18908.58,vinos
Cliente_0003,2025-10-02,43914.31,tragos de autor
Cliente_0003,2025-11-06,7922.58,vinos
Cliente_0003,2025-11-16,22557.82,gaseosas
Cliente_0003,2025-11-22,37694.62,otros platos
Cliente_0003,2025-11-22,46822.14,postres
Cliente_0003,2025-11-23,20351.5,entradas
Cliente_0003,2025-11-23,21107.43,vinos
Cliente_0003,2025-11-24,36906.84,otros platos
Cliente_0003,2025-12-15,10537.14,otros platos
Cliente_0003,2026-01-13,35365.91,gaseosas
Cliente_0003,2026-01-14,32840.4,otros platos
Cliente_0003,2026-01-18,18620.61,aguas
Cliente_0003,2026-01-19,28754.63,postres
Cliente_0003,2026-01-21,44049.81,tragos
Cliente_0003,2026-02-01,43836.08,whiskys
Cliente_0003,2026-02-17,27814.73,whiskys
Cliente_0003,2026-02-21,25564.1,merch
Cliente_0003,2026-03-11,32381.14,tragos de autor
Cliente_0003,2026-03-25,18184.83,platos principales
Cliente_0003,2026-03-27,41416.42,tragos de autor
Cliente_0003,2026-03-28,35575.55,postres
Cliente_0003,2026-04-22,21354.82,otras categorias
Cliente_0004,2025-05-21,14071.18,otras categorias
Cliente_0004,2025-06-26,43492.82,vinos
Cliente_0004,2025-08-18,46962.88,otras categorias
Cliente_0004,2025-10-20,14083.63,merch
Cliente_0004,2026-04-06,23465.81,otras categorias
Cliente_0005,2025-05-04,18613.02,whiskys
Cliente_0005,2025-06-05,34819.75,otros platos
Cliente_0005,2025-06-15,29779.05,tragos
Cliente_0005,2025-07-05,7369.18,whiskys
Cliente_0005,2025-07-11,30208.65,otras categorias
Cliente_0005,2025-07-16,21937.84,Picadas
Cliente_0005,2025-07-16,20895.47,Picadas
Cliente_0005,2025-08-07,19696.34,postres
Cliente_0005,2025-08-17,21123.84,whiskys
Cliente_0005,2025-08-21,47979.33,postres
Cliente_0005,2025-08-25,24273.59,postres
Cliente_0005,2025-09-02,23406.97,gaseosas
Cliente_0005,2025-09-02,17560.48,otros platos
Cliente_0005,2025-09-05,41571.49,whiskys
Cliente_0005,2025-09-21,43591.41,postres
Cliente_0005,2025-10-15,13829.14,otros platos
Cliente_0005,2025-10-16,8953.93,gaseosas
Cliente_0005,2025-10-21,44214.59,otras categorias
Cliente_0005,2025-10-24,38823.11,whiskys
Cliente_0005,2025-10-28,29601.51,vinos
Cliente_0005,2025-11-01,40252.55,merch
Cliente_0005,2025-11-20,8318.16,entradas
Cliente_0005,2025-11-27,30339.73,otros platos
Cliente_0005,2025-12-12,20930.01,merch
Cliente_0005,2025-12-28,45395.62,whiskys
Cliente_0005,2026-01-24,26362.18,whiskys
Cliente_0005,2026-01-26,45860.79,Picadas
Cliente_0005,2026-02-03,5957.72,platos principales
Cliente_0005,2026-02-03,9205.54,tragos de autor
Cliente_0005,2026-02-13,45494.36,aguas
Cliente_0005,2026-02-13,9821.58,Picadas
Cliente_0005,2026-02-15,8706.37,otras categorias
Cliente_0005,2026-02-19,22071.13,aguas
Cliente_0005,2026-02-19,18116.55,postres
